Similarity, Precision, Recall, Id
15.312464179059889, 0.3333333333333333, 0.05263157894736842, 6824
14.474239137082439, 0.3333333333333333, 0.10526315789473684, 9859
14.046262925460843, 0.42857142857142855, 0.15789473684210525, 5502
11.438033802776667, 0.23529411764705882, 0.21052631578947367, 8172
11.29354966485261, 0.25, 0.2631578947368421, 8150
9.28673217489863, 0.15384615384615385, 0.3157894736842105, 7923
6.44740060170714, 0.07608695652173914, 0.3684210526315789, 9219
5.676333581679514, 0.05228758169934641, 0.42105263157894735, 4569
5.67003955013441, 0.05844155844155844, 0.47368421052631576, 6664
5.46115592192804, 0.05952380952380952, 0.5263157894736842, 5472
5.380092311953755, 0.06395348837209303, 0.5789473684210527, 1502
4.00658069074743, 0.03260869565217391, 0.631578947368421, 6480
3.4412788621086885, 0.029953917050691243, 0.6842105263157895, 4462
3.3842726493226523, 0.03153153153153153, 0.7368421052631579, 6471
3.3835333203865177, 0.033707865168539325, 0.7894736842105263, 9988
3.129385512460165, 0.029357798165137616, 0.8421052631578947, 10588
3.0638672813206225, 0.028960817717206135, 0.8947368421052632, 10081
2.3450978014942168, 0.016319129646418858, 0.9473684210526315, 8277
0.3118933496485233, 0.004519505233111323, 1.0, 1239
